portfolio,id_ordre_travail,id_demande,etat,urgence,impact_disponibilite,vandalisme,palliative,avec_demande_pdr,est_reouvert,site,zone,famille,groupe,ot_fils,prestataire,cout_maindoeuvre,cout_pdr,cout_bc,cout_total,nombre_main_doeuvre,duree_intervention_par_heure,id_actif,time_to_closure_hours,time_to_start_hours,num_spare_parts_requests,total_parts_quantity,total_parts_cost,parts_families,parts_request_status,creation_hour,creation_day_of_week,creation_day_of_month,creation_month,creation_quarter,creation_is_weekend,creation_is_business_hours,days_since_last_maintenance,equipment_failure_count,equipment_avg_cost,equipment_avg_duration,famille_failure_count,famille_avg_cost,equipment_age_days,site_failure_count,site_avg_cost,zone_failure_count,has_spare_parts,spare_parts_cost_ratio,famille_spare_parts_usage_rate,anomaly_travaux_de_maintenance,anomaly_dégradation,anomaly_endomagement,anomaly_arrachement,anomaly_endommage,anomaly_dégradtion_du_sol,anomaly_desencastrement,anomaly_serrure_endommagé_,anomaly_chasse_endommagé_,anomaly_flux_lumineux_faible_,anomaly_poigné_endommagé_,anomaly_endommagement_,anomaly_dégradation_,anomaly_brèche_à_la_clôture_,anomaly_déformation,anomaly_habillage_dégradé_,anomaly_dégradation_des_matériaux_,anomaly_sol_defectué,anomaly_bouchage_,anomaly_dérangement_au_niveau_de_la_centrale_,anomaly_recurrence_count,urgence_Faible,urgence_Fort,urgence_Moyen,famille_high_urgency_rate,provider_avg_time_to_closure,provider_avg_cost,provider_work_volume,rolling_7d_failures,rolling_30d_failures,rolling_7d_avg_cost,rolling_30d_avg_cost,portfolio_encoded,site_encoded,zone_encoded,famille_encoded,groupe_encoded,prestataire_encoded,etat_encoded,days_to_next_failure,will_fail_within_30_days,anomaly_type_encoded,spare_parts_cost_target,intervention_duration_target,will_need_spare_parts
batiment,14281,14318,OT Cloturé,Moyen,non,False,False,False,False,PPR,PPR01,Equipement lot archi / Menuiserie ,Fenêtre ,Non,TMU,122.72,0.0,0.0,122.72,1,2.36,132806,19.816666666666666,0.05,0,0.0,0.0,,,9,3,6,2,1,0,1,9.809027777777779,1,122.72,2.36,385,4123.536727272727,0.0,488,17924.41973360656,386,0,0.0,0.2909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,0.0025974025974025974,347.9875606969437,5852.34503869969,1292,1.0,1.0,122.72,122.72,0,1,2,12,43,9,0,,0,86,0.0,2.36,0
batiment,15182,15297,OT Cloturé,Moyen,non,False,False,True,False,PPR,PPR01,Equipement électrique,Prise de courant ,Non,TMU,99.84,0.0,0.0,99.84,1,1.92,132905,3.7,0.35,1,1.0,0.0,ELECTRICITE,cloture,10,3,13,3,1,0,1,9.809027777777779,1,99.84,1.92,75,2716.3549333333335,0.0,488,17924.41973360656,386,1,0.0,0.14666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,0.04,347.9875606969437,5852.34503869969,1292,1.0,1.0,99.84,99.84,0,1,2,16,86,9,0,,0,149,0.0,1.92,1
batiment,14935,15023,OT Cloturé,Moyen,non,False,False,True,False,PPR,PPR01,Equipement éclairage,Bloc autonome secours ,Non,TMU,1369.16,187.0,0.0,1556.16,1,26.33,132933,39.6,13.233333333333333,1,1.0,187.0,ELECTRICITE,cloture,22,0,3,3,1,0,0,9.809027777777779,1,1556.16,26.33,263,6283.062015209126,0.0,488,17924.41973360656,386,1,0.12016759202138597,0.5057034220532319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,0.0038022813688212928,347.9875606969437,5852.34503869969,1292,1.0,1.0,1556.16,1556.16,0,1,2,15,6,9,0,,0,62,187.0,26.33,1
batiment,14975,15072,OT Cloturé,Moyen,non,False,False,True,False,PPR,PPR01,Equipement lot archi / Menuiserie ,Cloison,Non,TMU,2346.76,160.0,0.0,2506.76,1,45.13,132966,45.983333333333334,0.6666666666666666,1,1.0,160.0,PLOMBERIE,cloture,12,2,5,3,1,0,1,9.809027777777779,1,2506.76,45.13,385,4123.536727272727,0.0,488,17924.41973360656,386,1,0.06382741068151718,0.2909090909090909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,0.0025974025974025974,347.9875606969437,5852.34503869969,1292,1.0,1.0,2506.76,2506.76,0,1,2,12,22,9,0,,0,231,160.0,45.13,1
batiment,14934,15022,OT Rejeté,Moyen,non,False,False,False,False,PPR,PPR01,Element de structure ,Dalle,Non,TMU,0.0,0.0,0.0,0.0,0,0.0,133000,,,0,0.0,0.0,,,22,0,3,3,1,0,0,9.809027777777779,1,0.0,0.0,45,5934.808222222222,0.0,488,17924.41973360656,386,0,0.0,0.28888888888888886,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,0.0,347.9875606969437,5852.34503869969,1292,1.0,1.0,0.0,0.0,0,1,2,1,27,9,5,,0,231,0.0,0.0,0
batiment,14973,15062,OT Realisé,Moyen,non,False,False,True,False,PPR,PPR01,Equipement éclairage,Interrupteur d'allumage ,Non,TMU,4268.75,22.0,0.0,4290.75,1,68.3,133042,4221.95,0.13333333333333333,1,1.0,22.0,ELECTRICITE,cloture,12,2,5,3,1,0,1,9.809027777777779,1,4290.75,68.3,263,6283.062015209126,0.0,488,17924.41973360656,386,1,0.005127308745557303,0.5057034220532319,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,0.0038022813688212928,347.9875606969437,5852.34503869969,1292,1.0,1.0,4290.75,4290.75,0,1,2,15,52,9,4,,0,49,22.0,68.3,1
batiment,14234,14277,OT Cloturé,Moyen,non,False,False,False,False,PPR,PPR01,Equipement plomberie et sanitaire,Lavabo,Non,TMU,28.08,0.0,0.0,28.08,1,0.54,133058,0.85,0.03333333333333333,0,0.0,0.0,,,10,1,4,2,1,0,1,9.809027777777779,1,28.08,0.54,310,6085.928677419354,0.0,488,17924.41973360656,386,0,0.0,0.5580645161290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,0.012903225806451613,347.9875606969437,5852.34503869969,1292,1.0,1.0,28.08,28.08,0,1,2,14,56,9,0,,0,17,0.0,0.54,0
batiment,14976,15073,OT Rejeté,Moyen,non,True,False,False,False,PPR,PPR01,Equipement plomberie et sanitaire,Lavabo,Non,TMU,0.0,0.0,0.0,0.0,0,0.0,133060,,0.16666666666666666,0,0.0,0.0,,,12,2,5,3,1,0,1,9.809027777777779,1,0.0,0.0,310,6085.928677419354,0.0,488,17924.41973360656,386,0,0.0,0.5580645161290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,0.012903225806451613,347.9875606969437,5852.34503869969,1292,1.0,1.0,0.0,0.0,0,1,2,14,56,9,5,,0,152,0.0,0.0,0
batiment,15453,15583,OT Cloturé,Moyen,non,True,False,True,False,PPR,PPR01,Equipement lot archi / Menuiserie ,Porte  bois,Non,TMU,15080.25,658.0,0.0,15738.25,1,402.14,133092,2475.4666666666667,4.316666666666666,2,2.0,658.0,MENUISERIE,cloture,5,2,26,3,1,0,0,9.809027777777779,1,15738.25,402.14,385,4123.536727272727,0.0,488,17924.41973360656,386,1,0.04180896859561895,0.2909090909090909,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,False,False,True,0.0025974025974025974,347.9875606969437,5852.34503869969,1292,1.0,1.0,15738.25,15738.25,0,1,2,12,74,9,0,,0,179,658.0,402.14,1
batiment,15369,15487,OT Cloturé,Moyen,non,False,False,True,False,PPR,PPR01,Equipement éclairage,Spot,Non,TMU,4978.48,500.0,0.0,5478.48,1,95.74,133106,96.16666666666667,0.06666666666666667,1,2.0,500.0,ELECTRICITE,cloture,9,4,21,3,1,0,1,9.809027777777779,1,5478.48,95.74,263,6283.062015209126,0.0,488,17924.41973360656,386,1,0.09126619062221639,0.5057034220532319,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,False,False,True,0.0038022813688212928,347.9875606969437,5852.34503869969,1292,1.0,1.0,5478.48,5478.48,0,1,2,15,104,9,0,,0,115,500.0,95.74,1
batiment,13909,13950,OT Cloturé,Moyen,non,False,False,True,False,PPR,PPR01,Equipement éclairage,Spot,Non,TMU,1383.2,750.0,0.0,2133.2,1,26.6,133111,28.883333333333333,1.1333333333333333,1,3.0,750.0,ELECTRICITE,cloture,12,0,20,1,1,0,1,9.809027777777779,1,2133.2,26.6,263,6283.062015209126,0.0,488,17924.41973360656,386,1,0.3515844740296269,0.5057034220532319,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,0.0038022813688212928,347.9875606969437,5852.34503869969,1292,1.0,1.0,2133.2,2133.2,0,1,2,15,104,9,0,,0,98,750.0,26.6,1
