id_actif,actif,famille,groupe,site,zone,localisation,source,corrective_count,preventive_count,total_maintenance_count
166232,Mono split 1,Equipement climatisation et VMC,Mono split ,TM1,SAS IMPORT,Douane - extension sas,preventive,0,3,3
166233,Mono split 1,Equipement climatisation et VMC,Mono split ,TM1,SAS IMPORT,Douane - extension sas,preventive,0,3,3
166234,Mono split 1,Equipement climatisation et VMC,Mono split ,TM1,SAS IMPORT,Douane - extension sas,preventive,0,3,3
166235,Mono split 1,Equipement climatisation et VMC,Mono split ,TM1,SAS IMPORT,Douane - extension sas,preventive,0,3,3
166236,Mono split 1,Equipement climatisation et VMC,Mono split ,TM1,SAS IMPORT,Batiment SDFM - extension sas,preventive,0,3,3
166251,Porte Aluminium 1,Equipement lot archi / Menuiserie ,Porte aluminium,TM1,SAS IMPORT,Batiment SDFM - extension sas,corrective,2,0,2
166253,Porte Vitré 1,Equipement lot archi / Menuiserie ,Porte vitrée,TM1,SAS IMPORT,Douane - extension sas,corrective,1,0,1
166255,Porte Vitré 1,Equipement lot archi / Menuiserie ,Porte vitrée,TM1,SAS IMPORT,Douane - extension sas,corrective,2,0,2
166256,Porte Vitré 1,Equipement lot archi / Menuiserie ,Porte vitrée,TM1,SAS IMPORT,Douane - extension sas,corrective,1,0,1
166272,Prise de courant 2,Equipement électrique,Prise de courant ,TM1,SAS IMPORT,Douane - extension sas,corrective,1,0,1
166277,Prise de courant 1,Equipement électrique,Prise de courant ,TM1,SAS IMPORT,Douane - extension sas,corrective,2,0,2
166334,Applique LED 6,Equipement éclairage,Applique LED ,TM2,TM02,PNG,corrective,2,0,2
166349,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM2,TM02,PNG,preventive,0,3,3
166350,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM2,TM02,PNG,preventive,0,3,3
166351,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM2,TM02,PNG,preventive,0,3,3
166352,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM2,TM02,PNG,preventive,0,3,3
166421,Climatiseur cassette 1,Equipement climatisation et VMC,Climatiseur cassette ,TM2,TM02,PNG,preventive,0,3,3
166422,Climatiseur cassette 1,Equipement climatisation et VMC,Climatiseur cassette ,TM2,TM02,PNG,preventive,0,3,3
166423,Climatiseur cassette 1,Equipement climatisation et VMC,Climatiseur cassette ,TM2,TM02,PNG,preventive,0,3,3
166424,Climatiseur cassette 1,Equipement climatisation et VMC,Climatiseur cassette ,TM2,TM02,PNG,preventive,0,3,3
166477,Distributeur savon 1,Equipement plomberie et sanitaire,Distributeur savon,TM2,TM02,PNG,corrective,1,0,1
166495,Lampe linéaire continue 1,Equipement éclairage,Lampe linéaire continue ,TM2,TM02,PNG,corrective,1,0,1
166498,Mono split 1,Equipement climatisation et VMC,Mono split ,TM2,TM02,PNG,preventive,0,3,3
166499,Mono split 1,Equipement climatisation et VMC,Mono split ,TM2,TM02,PNG,preventive,0,3,3
166500,Mono split 1,Equipement climatisation et VMC,Mono split ,TM2,TM02,PNG,preventive,0,3,3
166501,Mono split 1,Equipement climatisation et VMC,Mono split ,TM2,TM02,PNG,preventive,0,3,3
166520,Porte automatique vitrée 2,Equipement lot archi / Menuiserie ,Porte automatique vitrée,TM2,TM02,PNG,corrective,2,0,2
166592,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM1,SAS IMPORT,Batiment PIF,preventive,0,3,3
166593,Armoire électrique 2,Equipement électrique,Armoire électrique ,TM1,SAS IMPORT,Batiment PIF,preventive,0,3,3
166767,Mono split 1,Equipement climatisation et VMC,Mono split ,TM1,SAS IMPORT,Batiment PIF,preventive,0,2,2
166768,Mono split 1,Equipement climatisation et VMC,Mono split ,TM1,SAS IMPORT,Batiment PIF,preventive,0,2,2
166769,Mono split 1,Equipement climatisation et VMC,Mono split ,TM1,SAS IMPORT,Batiment PIF,preventive,0,2,2
166770,Mono split 1,Equipement climatisation et VMC,Mono split ,TM1,SAS IMPORT,Batiment PIF,preventive,0,2,2
166771,Mono split 1,Equipement climatisation et VMC,Mono split ,TM1,SAS IMPORT,Batiment PIF,preventive,0,2,2
166873,Spot 1,Equipement éclairage,Spot,TM1,SAS IMPORT,Batiment PIF,corrective,1,0,1
