numero_ot,portfolio,famille,groupe,site,zone,localisation,etage,salle,id_actif,actif,code_actif,numero_intervention,nom_intervention,frequence,date_debut_planifiee,date_fin_planifiee,entite,prestataire,etat,is_reopened,pourcentage,date_debut,date_fin,cout,motif_standby,date_cloture,responsable_cloture,id_responsable_cloture,date_validation,responsable_validation,id_responsable_validation,commentaire_cloture,date_reouverture,responsable_reouverture,id_responsable_rejet,commentaire_ouverture,responsable_rejet,motif_rejet,date_rejet,days_deviation_from_plan,intervention_duration_hours
53134,infrastructure,Ouvrages d'amarrage et d'accostage,Bollard,TM1,TM01,Môle car Carrier,,,17998,Bollard 06 - 150T,MCC-SUD_B06,5915,Visite préventive Bollard (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,AQUA FLOR PROTECT ,Réalisé,Non,100.0,2025-02-06 08:39:40.000,2025-02-06 08:59:40.000,141.31,,2025-03-05 11:40:57.199,SUP-AFP-OUV- 01,61.0,,,,,,,,,,,,4.361111111111111,0.3333333333333333
53138,infrastructure,Ouvrages d'amarrage et d'accostage,Bollard,TM1,TM01,Môle car Carrier,,,18001,Bollard 10 - 150T,MCC-SUD_B10,5915,Visite préventive Bollard (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,AQUA FLOR PROTECT ,Réalisé,Non,100.0,2025-02-06 09:59:40.000,2025-02-06 10:19:40.000,141.31,,2025-03-05 14:39:13.388,SUP-AFP-OUV- 01,61.0,,,,,,,,,,,,4.416666666666667,0.3333333333333333
53140,infrastructure,Ouvrages d'amarrage et d'accostage,Bollard,TM1,TM01,Môle car Carrier,,,18003,Bollard 12 - 150T,MCC-SUD_B12,5915,Visite préventive Bollard (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,AQUA FLOR PROTECT ,Réalisé,Non,100.0,2025-02-06 10:39:40.000,2025-02-06 10:59:40.000,141.31,,2025-03-05 11:43:12.775,SUP-AFP-OUV- 01,61.0,,,,,,,,,,,,4.444444444444445,0.3333333333333333
53148,infrastructure,Ouvrages d'amarrage et d'accostage,Bollard,TM1,TM01,Terminal à conteneurs 1 (TC1),,,17295,Bollard 52 - 200T,TC1_B52,5915,Visite préventive Bollard (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,AQUA FLOR PROTECT ,Réalisé,Non,100.0,2025-02-06 12:59:40.000,2025-02-06 13:19:40.000,141.31,,2025-03-05 11:46:35.553,SUP-AFP-OUV- 01,61.0,,,,,,,,,,,,4.541666666666667,0.3333333333333333
53153,infrastructure,Ouvrages d'amarrage et d'accostage,Bollard,TM1,TM01,Terminal à conteneurs 1 (TC1),,,17301,Bollard 58 - 200T,TC1_B58,5915,Visite préventive Bollard (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,AQUA FLOR PROTECT ,Réalisé,Non,100.0,2025-02-06 14:39:40.000,2025-02-06 14:59:40.000,141.31,,2025-03-05 11:54:13.848,SUP-AFP-OUV- 01,61.0,,,,,,,,,,,,4.611111111111111,0.3333333333333333
53139,infrastructure,Ouvrages d'amarrage et d'accostage,Bollard,TM1,TM01,Môle car Carrier,,,18002,Bollard 11 - 150T,MCC-SUD_B11,5915,Visite préventive Bollard (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,AQUA FLOR PROTECT ,Réalisé,Non,100.0,2025-02-06 10:19:40.000,2025-02-06 10:39:40.000,141.31,,2025-03-05 14:40:12.100,SUP-AFP-OUV- 01,61.0,,,,,,,,,,,,4.430555555555555,0.3333333333333333
53144,infrastructure,Ouvrages d'amarrage et d'accostage,Bollard,TM1,TM01,Môle car Carrier,,,18007,Bollard 16 - 150T,MCC-SUD_B16,5915,Visite préventive Bollard (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,AQUA FLOR PROTECT ,Réalisé,Non,100.0,2025-02-06 13:19:40.000,2025-02-06 13:39:40.000,141.31,,2025-03-05 14:45:41.685,SUP-AFP-OUV- 01,61.0,,,,,,,,,,,,4.555555555555555,0.3333333333333333
53159,infrastructure,Ouvrages d'amarrage et d'accostage,Bollard,TM1,TM01,Terminal à conteneurs 1 (TC1),,,17291,Bollard 48 - 200T,TC1_B48,5915,Visite préventive Bollard (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,AQUA FLOR PROTECT ,Réalisé,Non,100.0,2025-02-13 17:59:40.000,2025-02-13 18:19:40.000,176.63,,2025-03-10 14:37:11.504,SUP-AFP-OUV- 01,61.0,,,,,,,,,,,,11.75,0.3333333333333333
53164,infrastructure,Ouvrages d'amarrage et d'accostage,Bollard,TM1,TM01,Terminal à conteneurs 1 (TC1),,,17288,Bollard 45 - 300T,TC1_B45,5915,Visite préventive Bollard (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,AQUA FLOR PROTECT ,Réalisé,Non,100.0,2025-02-07 07:59:40.000,2025-02-07 08:14:40.000,107.05,,2025-03-05 12:21:12.522,SUP-AFP-OUV- 01,61.0,,,,,,,,,,,,5.333333333333333,0.25
53168,infrastructure,Ouvrages d'amarrage et d'accostage,Bollard,TM1,TM01,Terminal à conteneurs 2 (TC2),,,17259,Bollard 16 - 300T,TC2_B16,5915,Visite préventive Bollard (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,AQUA FLOR PROTECT ,Réalisé,Non,100.0,2025-02-07 08:59:40.000,2025-02-07 09:14:40.000,107.05,,2025-03-05 12:31:28.270,SUP-AFP-OUV- 01,61.0,,,,,,,,,,,,5.375,0.25
53173,infrastructure,Ouvrages d'amarrage et d'accostage,Bollard,TM1,TM01,Terminal à conteneurs 2 (TC2),,,17246,Bollard 03 - 100T,TC2_B03,5915,Visite préventive Bollard (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,AQUA FLOR PROTECT ,Réalisé,Non,100.0,2025-02-07 10:14:40.000,2025-02-07 10:29:40.000,133.81,,2025-03-05 12:40:35.453,SUP-AFP-OUV- 01,61.0,,,,,,,,,,,,5.427083333333333,0.25
53178,infrastructure,Ouvrages d'amarrage et d'accostage,Bollard,TM1,TM01,Terminal à conteneurs 2 (TC2),,,17251,Bollard 08 - 200T,TC2_B08,5915,Visite préventive Bollard (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,AQUA FLOR PROTECT ,Réalisé,Non,100.0,2025-02-07 11:29:40.000,2025-02-07 11:44:40.000,133.81,,2025-03-05 12:48:06.294,SUP-AFP-OUV- 01,61.0,,,,,,,,,,,,5.479166666666667,0.25
53182,infrastructure,Ouvrages d'amarrage et d'accostage,Bollard,TM1,TM01,Terminal à conteneurs 2 (TC2),,,17255,Bollard 12 - 200T,TC2_B12,5915,Visite préventive Bollard (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,AQUA FLOR PROTECT ,Réalisé,Non,100.0,2025-02-07 13:29:40.000,2025-02-07 13:44:40.000,133.81,,2025-03-05 12:53:55.213,SUP-AFP-OUV- 01,61.0,,,,,,,,,,,,5.5625,0.25
53187,infrastructure,Ouvrages d'amarrage et d'accostage,Bollard,TM1,TM01,Terminal à conteneurs 1 (TC1),,,17305,Bollard 62 - 300T,TC1_B62,5915,Visite préventive Bollard (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,AQUA FLOR PROTECT ,Réalisé,Non,100.0,2025-02-07 14:44:40.000,2025-02-07 14:59:40.000,107.05,,2025-03-05 13:11:49.463,SUP-AFP-OUV- 01,61.0,,,,,,,,,,,,5.614583333333333,0.25
53194,infrastructure,Ouvrages d'amarrage et d'accostage,Bollard,TM1,TM01,Terminal à conteneurs 1 (TC1),,,17318,Bollard 75 - 200T,TC1_B75,5915,Visite préventive Bollard (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,AQUA FLOR PROTECT ,Réalisé,Non,100.0,2025-02-07 16:29:40.000,2025-02-07 16:44:40.000,107.05,,2025-03-05 13:29:31.568,SUP-AFP-OUV- 01,61.0,,,,,,,,,,,,5.6875,0.25
53202,infrastructure,Ouvrages d'amarrage et d'accostage,Bollard,TM1,TM01,Terminal à conteneurs 1 (TC1),,,17326,Bollard 83 - 200T,TC1_B83,5915,Visite préventive Bollard (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,AQUA FLOR PROTECT ,Réalisé,Non,100.0,2025-02-08 09:29:40.000,2025-02-08 09:44:40.000,107.05,,2025-03-05 13:42:30.539,SUP-AFP-OUV- 01,61.0,,,,,,,,,,,,6.395833333333333,0.25
53214,infrastructure,Ouvrages d'amarrage et d'accostage,Bollard,TM1,TM01,Poste  pétrolier 1,,,17722,Bollard 05 - 75T,QP2_B05,5915,Visite préventive Bollard (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,AQUA FLOR PROTECT ,Réalisé,Non,100.0,2025-02-08 13:29:40.000,2025-02-08 13:44:40.000,133.81,,2025-03-05 13:46:27.151,SUP-AFP-OUV- 01,61.0,,,,,,,,,,,,6.5625,0.25
53207,infrastructure,Ouvrages d'amarrage et d'accostage,Bollard,TM1,TM01,Terminal à conteneurs 2 (TC2),,,17268,Bollard 25 - 200T,TC2_B25,5915,Visite préventive Bollard (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,AQUA FLOR PROTECT ,Réalisé,Non,100.0,2025-02-08 10:44:40.000,2025-02-08 10:59:40.000,107.05,,2025-03-05 13:50:06.093,SUP-AFP-OUV- 01,61.0,,,,,,,,,,,,6.447916666666667,0.25
53189,infrastructure,Ouvrages d'amarrage et d'accostage,Bollard,TM1,TM01,Terminal à conteneurs 1 (TC1),,,17307,Bollard 64 - 300T,TC1_B64,5915,Visite préventive Bollard (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,AQUA FLOR PROTECT ,Réalisé,Non,100.0,2025-02-07 15:14:40.000,2025-02-07 15:29:40.000,107.05,,2025-03-05 15:02:45.436,SUP-AFP-OUV- 01,61.0,,,,,,,,,,,,5.635416666666667,0.25
53212,infrastructure,Ouvrages d'amarrage et d'accostage,Bollard,TM1,TM01,Terminal à conteneurs 2 (TC2),,,17273,Bollard 30 - 200T,TC2_B30,5915,Visite préventive Bollard (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,AQUA FLOR PROTECT ,Réalisé,Non,100.0,2025-02-08 12:59:40.000,2025-02-08 13:14:40.000,107.05,,2025-03-06 11:30:40.646,SUP-AFP-OUV- 01,61.0,,,,,,,,,,,,6.541666666666667,0.25
61694,batiment,Equipement électrique,Armoire électrique ,TM1,TMPC01,Secteur 4,Niveau 27,Local tech 4-4,164927,Armoire électrique 2,AEL 2,6228,Visite préventive Armoire électrique  (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,TMU,Validé,Non,100.0,2025-02-07 11:59:40.000,2025-02-07 12:59:40.000,52.0,,2025-03-10 01:08:20.389,SUP-TMU-BAT- 02,84.0,2025-11-02 18:43:01.198,Chaymae Farah,144.0,,,,,,,,,5.5,1.0
26432,batiment,Equipement électrique,Armoire électrique ,TM1,TMPC01,BELVEDERE,RDC,4,135169,Armoire électrique 2,AEL 2,3517,Visite préventive Armoire électrique  (Semestre 1),S,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,TMU,Validé,Non,100.0,2025-05-26 15:21:40.432,2025-05-26 16:03:36.825,34.32,,2025-05-26 16:03:36.825,sup-tmu-bat- 05,90.0,2025-11-02 18:46:08.252,Chaymae Farah,144.0,,,,,,,,,113.64028277777778,0.6989980555555556
26431,batiment,Equipement électrique,Armoire électrique ,TM1,TMPC01,BELVEDERE,RDC,4,135168,Armoire électrique 1,AEL 1,3517,Visite préventive Armoire électrique  (Semestre 1),S,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,TMU,Validé,Non,100.0,2025-05-26 15:21:38.384,2025-05-26 16:08:53.566,39.0,,2025-05-26 16:08:53.566,sup-tmu-bat- 05,90.0,2025-11-02 18:46:56.507,Chaymae Farah,144.0,,,,,,,,,113.64025907407407,0.7875505555555555
29043,batiment,Equipement climatisation et VMC,Ventilo-convecteur ,TM1,TMPC01,Secteur 3,Niveau 22,Circulation 3-3,91698,Ventiloconvecteur 2,VCO 2,3640,Visite preventive Ventilo-convecteur  (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-02-09 16:59:40.000,2025-02-09 18:59:40.000,208.0,,2025-03-03 22:16:54.771,SUP-TMU-BAT- 6,140.0,,,,,,,,,,,,7.708333333333333,2.0
29052,batiment,Equipement climatisation et VMC,Ventilo-convecteur ,TM1,TMPC01,Secteur 3,Niveau 27,Circulation 3-7,91657,Ventiloconvecteur 2,VCO 2,3640,Visite preventive Ventilo-convecteur  (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-02-10 13:59:40.000,2025-02-10 15:59:40.000,208.0,,2025-03-03 22:58:52.956,SUP-TMU-BAT- 6,140.0,,,,,,,,,,,,8.583333333333334,2.0
27492,batiment,Equipement climatisation et VMC,Ventilo-convecteur ,TM1,TMPC01,Secteur 1,Niveau 22,1142,91580,Ventiloconvecteur 3,VCO 3,3620,Visite preventive Ventilo-convecteur  (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-02-16 21:59:40.000,2025-02-16 23:49:40.000,190.32,,2025-03-17 03:00:01.204,SUP-TMU-BAT- 6,140.0,,,,,,,,,,,,14.916666666666666,1.8333333333333333
27494,batiment,Equipement climatisation et VMC,Ventilo-convecteur ,TM1,TMPC01,Secteur 1,Niveau 22,1145,91562,Ventiloconvecteur 1,VCO 1,3620,Visite preventive Ventilo-convecteur  (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-02-17 17:59:40.000,2025-02-17 19:59:40.000,208.0,,2025-03-17 03:08:27.046,SUP-TMU-BAT- 6,140.0,,,,,,,,,,,,15.75,2.0
27545,batiment,Equipement climatisation et VMC,Ventilo-convecteur ,TM1,TMPC01,Secteur 1,Niveau 22,Couloir 3,91624,Ventiloconvecteur 2,VCO 2,3620,Visite preventive Ventilo-convecteur  (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-02-17 20:59:40.000,2025-02-17 22:44:40.000,182.0,,2025-03-17 03:11:02.577,SUP-TMU-BAT- 6,140.0,,,,,,,,,,,,15.875,1.75
27461,batiment,Equipement climatisation et VMC,Ventilo-convecteur ,TM1,TMPC01,Secteur 1,Niveau 27,Couloir 12,91508,Ventiloconvecteur 5,VCO 5,3620,Visite preventive Ventilo-convecteur  (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-02-15 15:59:40.000,2025-02-15 17:54:40.000,199.68,,2025-03-10 00:07:36.200,SUP-TMU-BAT- 6,140.0,,,,,,,,,,,,13.666666666666666,1.9166666666666667
27467,batiment,Equipement climatisation et VMC,Ventilo-convecteur ,TM1,TMPC01,Secteur 1,Niveau 27,Couloir 14,91528,Ventiloconvecteur 5,VCO 5,3620,Visite preventive Ventilo-convecteur  (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-02-16 12:59:40.000,2025-02-16 14:49:40.000,190.32,,2025-03-10 00:41:55.772,SUP-TMU-BAT- 6,140.0,,,,,,,,,,,,14.541666666666666,1.8333333333333333
26897,batiment,Equipement électrique,Armoire électrique ,TM1,TMPC01,Gare Maritime TMPC,Niveau15,Local technique 4,176451,Armoire électrique 3,AEL 3,3583,Visite préventive Armoire électrique  (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-02-08 09:59:40.000,2025-02-08 10:59:40.000,52.0,,2025-03-10 00:43:03.434,SUP-TMU-BAT- 02,84.0,,,,,,,,,,,,6.416666666666667,1.0
27496,batiment,Equipement climatisation et VMC,Ventilo-convecteur ,TM1,TMPC01,Secteur 1,Niveau 22,1146,91506,Ventiloconvecteur 2,VCO 2,3620,Visite preventive Ventilo-convecteur  (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-02-11 15:59:40.000,2025-02-11 17:59:40.000,208.0,,2025-04-08 12:02:33.210,SUP-TMU-BAT- 6,140.0,,,,,,,,,,,,9.666666666666666,2.0
27497,batiment,Equipement climatisation et VMC,Ventilo-convecteur ,TM1,TMPC01,Secteur 1,Niveau 22,Accueil,91569,Ventiloconvecteur 1,VCO 1,3620,Visite preventive Ventilo-convecteur  (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-02-14 11:59:40.000,2025-02-14 13:59:40.000,208.0,,2025-04-08 12:12:40.161,SUP-TMU-BAT- 6,140.0,,,,,,,,,,,,12.5,2.0
27512,batiment,Equipement climatisation et VMC,Ventilo-convecteur ,TM1,TMPC01,Secteur 1,Niveau 22,Couloir 2,91607,Ventiloconvecteur 3,VCO 3,3620,Visite preventive Ventilo-convecteur  (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-02-17 17:59:40.000,2025-02-17 19:59:40.000,208.0,,2025-04-09 00:32:42.496,SUP-TMU-BAT- 6,140.0,,,,,,,,,,,,15.75,2.0
27513,batiment,Equipement climatisation et VMC,Ventilo-convecteur ,TM1,TMPC01,Secteur 1,Niveau 22,Couloir 2,91605,Ventiloconvecteur 4,VCO 4,3620,Visite preventive Ventilo-convecteur  (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-02-17 18:59:40.000,2025-02-17 20:59:40.000,208.0,,2025-04-09 00:36:12.599,SUP-TMU-BAT- 6,140.0,,,,,,,,,,,,15.791666666666666,2.0
27516,batiment,Equipement climatisation et VMC,Ventilo-convecteur ,TM1,TMPC01,Secteur 1,Niveau 22,Couloir 2,91614,Ventiloconvecteur 7,VCO 7,3620,Visite preventive Ventilo-convecteur  (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-02-17 20:59:40.000,2025-02-17 22:59:40.000,208.0,,2025-04-09 00:42:31.352,SUP-TMU-BAT- 6,140.0,,,,,,,,,,,,15.875,2.0
27518,batiment,Equipement climatisation et VMC,Ventilo-convecteur ,TM1,TMPC01,Secteur 1,Niveau 22,Couloir 2,91610,Ventiloconvecteur 10,VCO 10,3620,Visite preventive Ventilo-convecteur  (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-02-17 18:59:40.000,2025-02-17 20:59:40.000,208.0,,2025-04-09 00:48:08.104,SUP-TMU-BAT- 6,140.0,,,,,,,,,,,,15.791666666666666,2.0
27521,batiment,Equipement climatisation et VMC,Ventilo-convecteur ,TM1,TMPC01,Secteur 1,Niveau 22,Couloir 3,91618,Ventiloconvecteur 1,VCO 1,3620,Visite preventive Ventilo-convecteur  (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-02-17 19:34:40.000,2025-02-17 21:29:40.000,199.68,,2025-04-09 00:58:26.268,SUP-TMU-BAT- 6,140.0,,,,,,,,,,,,15.815972222222221,1.9166666666666667
27523,batiment,Equipement climatisation et VMC,Ventilo-convecteur ,TM1,TMPC01,Secteur 1,Niveau 22,Couloir 3,91620,Ventiloconvecteur 5,VCO 5,3620,Visite preventive Ventilo-convecteur  (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-02-17 17:59:40.000,2025-02-17 19:59:40.000,208.0,,2025-04-11 01:27:11.237,SUP-TMU-BAT- 6,140.0,,,,,,,,,,,,15.75,2.0
27526,batiment,Equipement climatisation et VMC,Ventilo-convecteur ,TM1,TMPC01,Secteur 1,Niveau 22,Couloir 4,91577,Ventiloconvecteur 1,VCO 1,3620,Visite preventive Ventilo-convecteur  (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-02-15 08:59:40.000,2025-02-15 10:59:40.000,208.0,,2025-04-13 23:21:57.973,SUP-TMU-BAT- 6,140.0,,,,,,,,,,,,13.375,2.0
27538,batiment,Equipement climatisation et VMC,Ventilo-convecteur ,TM1,TMPC01,Secteur 1,Niveau 22,Couloir 6,91595,Ventiloconvecteur 8,VCO 8,3620,Visite preventive Ventilo-convecteur  (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-02-16 12:59:40.000,2025-02-16 14:59:40.000,208.0,,2025-04-13 23:49:25.716,SUP-TMU-BAT- 6,140.0,,,,,,,,,,,,14.541666666666666,2.0
27539,batiment,Equipement climatisation et VMC,Ventilo-convecteur ,TM1,TMPC01,Secteur 1,Niveau 22,Couloir 6,91590,Ventiloconvecteur 9,VCO 9,3620,Visite preventive Ventilo-convecteur  (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-02-16 14:59:40.000,2025-02-16 16:59:40.000,208.0,,2025-04-13 23:53:07.155,SUP-TMU-BAT- 6,140.0,,,,,,,,,,,,14.625,2.0
27542,batiment,Equipement climatisation et VMC,Ventilo-convecteur ,TM1,TMPC01,Secteur 1,Niveau 22,Couloir 6,91591,Ventiloconvecteur 12,VCO 12,3620,Visite preventive Ventilo-convecteur  (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-02-16 18:59:40.000,2025-02-16 20:59:40.000,208.0,,2025-04-14 00:01:00.862,SUP-TMU-BAT- 6,140.0,,,,,,,,,,,,14.791666666666666,2.0
27544,batiment,Equipement climatisation et VMC,Ventilo-convecteur ,TM1,TMPC01,Secteur 1,Niveau 22,Couloir 8,91582,Ventiloconvecteur 3,VCO 3,3620,Visite preventive Ventilo-convecteur  (Trimestre 1),T,2025-02-01 23:59:40,2025-02-21 00:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-02-16 14:34:40.000,2025-02-16 16:39:40.000,216.32,,2025-04-14 00:07:05.398,SUP-TMU-BAT- 6,140.0,,,,,,,,,,,,14.60763888888889,2.0833333333333335
