article,total_demand,avg_demand_per_request,demand_std,current_stock,famille,total_cost,daily_demand,reorder_point,needs_reorder,suggested_order_qty
Té pvc Ø75,7.0,2.3333333333333335,1.5275252316519468,26,PLOMBERIE,105.0,0.007306889352818371,2.342436072947649,False,0.0
Té pvc Ø32,1.0,1.0,0.0,4,PLOMBERIE,8.0,0.0010438413361169101,0.0073068893528183704,False,0.0
Té pvc Ø110,4.0,1.0,0.0,16,PLOMBERIE,96.0,0.0041753653444676405,0.029227557411273482,False,0.0
Fusible 125A - AM Ø22*58,1.0,1.0,0.0,3,ELECTRICITE,120.0,0.0010438413361169101,0.0073068893528183704,False,0.0
Anti gel 50% MEDHUB,70.0,23.333333333333332,5.773502691896257,20,MECANIQUE,395.5,0.07306889352818371,9.171736292541672,False,0.0
Té polyéthylène Ø63,3.0,1.0,0.0,83,PLOMBERIE,60.0,0.003131524008350731,0.021920668058455117,False,0.0
Té polyéthylène Ø50,6.0,6.0,0.0,1,PLOMBERIE,108.0,0.006263048016701462,0.04384133611691023,False,0.0
Té polyéthylène Ø40,3.0,1.5,0.7071067811865476,37,PLOMBERIE,45.0,0.003131524008350731,1.0825808398382766,False,0.0
"Té polyéthylène Ø32*1"" FEMELLE",2.0,1.0,0.0,18,PLOMBERIE,84.0,0.0020876826722338203,0.014613778705636741,False,0.0
Ecrou de boulon M8,336.0,56.0,66.54922989787335,108,DIVERS,336.0,0.35073068893528186,102.278959669357,False,97.0
Ventilateur axial 230 VAC,3.0,1.0,0.0,1,ELECTRICITE,6600.0,0.003131524008350731,0.021920668058455117,False,0.0
Té polyéthylène Ø25,2.0,1.0,0.0,6,PLOMBERIE,20.0,0.0020876826722338203,0.014613778705636741,False,0.0
Vase d'expansion de Circuite hydraulique de PAC,2.0,1.0,0.0,1,CLIMATISATION,4176.0,0.0020876826722338203,0.014613778705636741,False,0.0
Vanne polyéthylène Ø 63,10.0,3.3333333333333335,3.214550253664318,29,PLOMBERIE,500.0,0.010438413361169102,4.8948942740246615,False,0.0
Vanne metalique Ø50,6.0,3.0,1.4142135623730951,31,PLOMBERIE,690.0,0.006263048016701462,2.165161679676553,False,0.0
Vanne metalique Ø 25,1.0,1.0,0.0,3,PLOMBERIE,80.0,0.0010438413361169101,0.0073068893528183704,False,0.0
Embout en plastique,90.0,45.0,21.213203435596427,70,DIVERS,40.5,0.09394572025052192,32.47742519514829,False,0.0
Enduit façade,2509.0,26.135416666666668,14.69021858005607,218,PEINTURE,30108.0,2.6189979123173277,40.3683132563054,False,0.0
Batterie de démarrage 12v-180Ah-1100A avec leur connectiques (sans entretien),8.0,2.0,0.0,4,ELECTRICITE,13600.0,0.008350730688935281,0.058455114822546964,False,0.0
Elément filtrant 0280 D010 BN4HC du Filtre de pression,6.0,1.0,0.0,2,HYDRAULIQUE,9900.0,0.006263048016701462,0.04384133611691023,False,0.0
Batterie de démarrage 12v-75Ah-720A avec leur connectiques (sans entretien),4.0,2.0,0.0,2,ELECTRICITE,3096.0,0.0041753653444676405,0.029227557411273482,False,0.0
Electrovanne de quai niveleur 24 v AC 31 VA,8.0,1.1428571428571428,0.3779644730092272,3,ELECTROMECANIQUE,9600.0,0.008350730688935281,0.6254018243363877,False,0.0
Armature LED 100W MEDHUB,60.0,15.0,5.773502691896258,10,ELECTRICITE,1200.0,0.06263048016701461,9.09866739901349,False,8.0
Ecrous Ø16mm,128.0,32.0,39.02136167109839,172,DIVERS,281.6,0.1336116910229645,59.467324343808336,False,0.0
Ecrous Ø12mm,100.0,100.0,0.0,200,DIVERS,150.0,0.10438413361169102,0.7306889352818371,False,0.0
Bloc autonome d'éclairage,33.0,2.0625,2.3514180118955172,11,ELECTRICITE,6171.0,0.03444676409185804,3.768254366486282,False,0.0
Bloc autonome d'éclairage de sécurité,28.0,5.6,4.277849927241488,10,ELECTRICITE,7000.0,0.029227557411273485,6.621367792741147,False,3.0
Vachette porte verre,1.0,1.0,0.0,2,MENUISERIE,770.0,0.0010438413361169101,0.0073068893528183704,False,0.0
Vachette de porte en aluminium 5 cm,11.0,1.1,0.31622776601683794,23,MENUISERIE,979.0,0.011482254697286013,0.554717431906259,False,0.0
cheville plastique D08,140.0,46.666666666666664,5.773502691896258,10,DIVERS,11200.0,0.14613778705636743,9.68321854723896,False,9.0
Té polyéthylène Ø25*3/4 FEMELLE,3.0,1.0,0.0,17,PLOMBERIE,114.0,0.003131524008350731,0.021920668058455117,False,0.0
ECROUS Ø18,30.0,30.0,0.0,470,DIVERS,66.0,0.031315240083507306,0.21920668058455114,False,0.0
Vanne service de purgeur de Circuite hydraulique de PAC,1.0,1.0,0.0,9,CLIMATISATION,140.0,0.0010438413361169101,0.0073068893528183704,False,0.0
"Baguette brasure cuivre auto-décapante, diamètre 3 mm",2.0,2.0,0.0,18,CLIMATISATION,140.0,0.0020876826722338203,0.014613778705636741,False,0.0
hublot ronde étanche,57.0,1.7272727272727273,1.2316839913490207,47,ELECTRICITE,1653.0,0.059498956158663886,2.2640186801341784,False,0.0
Fiche prise 2P+T 16A industrielle souple male marque famatel,17.0,1.8888888888888888,1.8333333333333333,5,ELECTRICITE,442.0,0.017745302713987474,2.874217118997912,False,1.0
Détecteur de mouvement encastré MEDHUB,7.0,1.4,0.8944271909999159,2,ELECTRICITE,70.0,0.007306889352818371,1.3927890119696025,False,1.0
Tube PPR Ø32,9.0,4.5,2.1213203435596424,4,PLOMBERIE,162.0,0.009394572025052192,3.247742519514829,False,2.0
Tube PPR 32,32.0,10.666666666666666,1.1547005383792515,12,PLOMBERIE,160.0,0.033402922755741124,1.965871266859065,False,0.0
Fourniture d'armoire électrique,4.0,4.0,0.0,2,ELECTRICITE,18000.0,0.0041753653444676405,0.029227557411273482,False,0.0
