article,total_cost,total_quantity,request_count,cumulative_cost,cumulative_pct
Condensateur courant,19200.0,64.0,11,10793031.8,80.70215564647732
Resistance préchauffage réf : (220VAC/300W 200VAC/700W) thermostat 50c°_45°,19080.0,2.0,2,10812111.8,80.84482150332532
Afficheur palier ascenseur Schindler,19000.0,8.0,5,10831111.8,80.98688918048005
Mécanisme chasse d'eau pour WC standard et suspendu MEDHUB,18900.0,27.0,21,10850011.8,81.12820913301817
Serrure porte en bois MEDHUB,18900.0,45.0,6,10868911.8,81.26952908555629
Panel LED 60/60 encastré,18795.0,105.0,38,10887706.8,81.41006392724698
Gel de silice indicatif de couleur orange Diam 2 à 4 mm/KG,18620.0,98.0,4,10906326.8,81.5492902508586
Panel LED encastrable de 120/30CM,18620.0,76.0,8,10924946.8,81.68851657447024
"Fourniture de boitier rappel Schindler.""",18000.0,3.0,3,10942946.8,81.82310700545892
Climatiseur mobile 12000BTU,18000.0,2.0,2,10960946.8,81.9576974364476
Fourniture de ventilateur d'aération Schindler.,18000.0,3.0,2,10978946.8,82.0922878674363
Fourniture d'armoire électrique,18000.0,4.0,1,10996946.8,82.22687829842498
Robinet poussoir mural,17940.0,52.0,29,11014886.8,82.3610200946437
Robinet équerre,17120.0,107.0,53,11032006.8,82.48903054900629
Fourniture de câbles R2V 5x16mm,17000.0,100.0,1,11049006.8,82.61614373382893
ROBINET LAVABO MITIJEUR MEDHUB,16400.0,20.0,14,11065406.8,82.73877057095194
Colle PVC,16120.0,62.0,55,11081526.8,82.85930377914849
Gaz 410A 13 KG MEDHUB,16000.0,16.0,8,11097526.8,82.97893971780509
Vitrage de cabine ascenseur,16000.0,3.0,3,11113526.8,83.0985756564617
Peinture trottoir rouge 25KG,16000.0,16.0,8,11129526.8,83.2182115951183
Peinture de traçage jaune 25KG,16000.0,16.0,6,11145526.8,83.33784753377492
Carte électronique de moteur porte sectionnelle référence (UST 1KL),16000.0,4.0,4,11161526.8,83.45748347243152
Moteur de porte sectionnelle 220V,16000.0,2.0,2,11177526.8,83.57711941108815
Ciment CPJ45 sac de 50KG,15678.0,201.0,74,11193204.8,83.69434767647928
Distributeur savon liquide plastique MEDHUB,15600.0,26.0,10,11208804.8,83.81099271666949
Boîtier de commande « Inekma » du quai niveleur télescopique RH21 ,15600.0,2.0,2,11224404.8,83.92763775685967
Robinet temporisateur Vasque,15390.0,171.0,24,11239794.8,84.04271257535501
Serrure de porte. w,15385.0,181.0,163,11255179.8,84.1577500076195
Carte électronique N°2 de commande PAC,14430.0,1.0,1,11269609.8,84.26564666979543
Soupape de sécurité,14400.0,16.0,5,11284009.8,84.37331901458637
Tube LED (T8) 18W 6500K MEDHUB,14400.0,120.0,10,11298409.8,84.48099135937733
Robinet temporisateur Mural,13950.0,155.0,21,11312359.8,84.58529894339357
câble électrique U1000 R2V 5G6mm,13800.0,200.0,1,11326159.8,84.68848494048488
Robinet mitigeur de lavabo,13650.0,42.0,37,11339809.8,84.7905493506513
Batterie de démarrage 12v-180Ah-1100A avec leur connectiques (sans entretien),13600.0,8.0,4,11353409.8,84.89223989850943
Ruban de téflon MEDHUB,13600.0,40.0,10,11367009.8,84.99393044636754
Carte électronique N°1 de commande PAC,13446.0,1.0,1,11380455.8,85.09446949831609
mousse polyuréthane,13440.0,112.0,13,11393895.8,85.19496368678764
Peinture métal blanc 20KG,13419.0,21.0,5,11407314.8,85.2953008530897
Split systéme mural 9000 BTU/h,13300.0,4.0,4,11420614.8,85.39474822709802
"Câble U1000R2V 3G2,5",13300.0,700.0,4,11433914.8,85.49419560110631
Résistance préchauffage réf : (BWO 155 24V) (24 VDC / 7W),13000.0,2.0,1,11446914.8,85.59139980126481
Tube gorge Gris D20  MEDHUB,13000.0,650.0,10,11459914.8,85.6886040014233
Distributeur serviette zigzag INOX MEDHUB,12950.0,7.0,3,11472864.8,85.78543433927351
Climatiseur split system mural de 12000 BTU ,12500.0,2.0,2,11485364.8,85.87889991634898
Spot LED GU10 7W 6500K MEDHUB,12480.0,64.0,22,11497844.8,85.97221594850113
Gaz frigorifique R410 A,12430.0,11.0,10,11510274.8,86.06515811834498
"Câble U1000R2V 3G2,5 MED HUB",12255.0,645.0,9,11522529.8,86.15679177010979
Moulure auto-adhesive,12006.0,138.0,10,11534535.8,86.24656358757925
Matériel déporté adressable MD4L (Marque Esser),12000.0,1.0,1,11546535.8,86.33629054157169
Câble U1000R2V 5G10,12000.0,600.0,2,11558535.8,86.42601749556415
Transponder Esserbus 4 entrées/2 sorties ; Module MD4L,12000.0,1.0,1,11570535.8,86.5157444495566
Flexible hydraulique 1/4 « 400 Bar,11950.0,29.0,23,11582485.8,86.60509754124077
AGGLOS,11900.0,2380.0,6,11594385.8,86.69407677061662
Distributeur papier hygiénique Inox MEDHUB,11900.0,14.0,14,11606285.8,86.78305599999247
Serrure porte en aluminium MEDHUB,11700.0,26.0,6,11617985.8,86.87053978013512
Câble U1000R2V 5G16,11628.0,612.0,3,11629613.8,86.95748519855381
HEMPADUR ZINC 17360,11520.0,64.0,2,11641133.8,87.04362307438657
Split 9000 complet,11500.0,23.0,13,11652633.8,87.129611405296
Groupe hydraulique 9T ENIKMA 380V,11500.0,1.0,1,11664133.8,87.21559973620543
Ciment CPJ35 sac de 50KG,11492.0,221.0,63,11675625.8,87.30152824914555
Pompe de surculation d'eau glacée de Circuite hydraulique de PAC,11484.0,2.0,2,11687109.8,87.38739694411633
Cylindre de serrure spécial 8CM,11400.0,76.0,54,11698509.8,87.47263755040917
Panneau sandwich Stucco,11400.0,6.0,2,11709909.8,87.557878156702
Robinet cuisine mitigeur (Mur),11250.0,15.0,5,11721159.8,87.64199717606994
cheville plastique D08,11200.0,140.0,3,11732359.8,87.72574233312956
Porte  savon en inox JOFEL,11063.0,37.0,32,11743422.8,87.80846310746443
"Réglette Philips 1200mm, Réf: WT120 G2 LED40S/840 PSU L1200 ",10560.0,22.0,3,11753982.8,87.8874228269778
Condensateur courant MEDHUB,10500.0,35.0,9,11764482.8,87.96593391172121
Accessoires pour la remise en état de système paratonnerre,10500.0,1.0,1,11774982.8,88.0444449964646
Butoires en acier,10389.0,3.0,3,11785371.8,88.12212610688357
PEINTURE GLYCEROPHTALIQUE MATE,10276.0,367.0,21,11795647.8,88.19896228848579
cheville  plastique D 10,10240.0,128.0,4,11805887.8,88.275529289226
"Ventouses électromagné tiques de maintien des portillons ""EM 500 G , avec embase""",10200.0,6.0,3,11816087.8,88.35179720011959
Cable de levage (Diam 7 lg= 41m) Réf : DRH170560,10200.0,1.0,1,11826287.8,88.42806511101318
Fourniture de produits de nettoyage escalator,10000.0,5.0,3,11836287.8,88.50283757267357
"""Fourniture d une venteuse électromagnétique pour porte coupe-feu avec support 12Vcc""",10000.0,2.0,1,11846287.8,88.57761003433396
Boite de réarmement BR100 pour détecteur linéaire (Marque AVS ELECTRONICS),10000.0,5.0,2,11856287.8,88.65238249599433
Elément filtrant 0280 D010 BN4HC du Filtre de pression,9900.0,6.0,6,11866187.8,88.7264072330381
"Boite d alimentation alsw285pfc power supply ""Tecnofire""",9800.0,1.0,1,11875987.8,88.79968424546529
centrale incendie Tecnofire 1 boucle avec batteries,9750.0,1.0,1,11885737.8,88.87258739558415
Générateur solaire,9700.0,1.0,1,11895437.8,88.94511668339472
Electrovanne de quai niveleur 24 v AC 31 VA,9600.0,8.0,7,11905037.8,89.01689824658868
Carte électronique N°3 de commande PAC,9570.0,1.0,1,11914607.8,89.08845549239767
System de compensation ressort à Axe avec une rainure étirée en acier galvanisé Ø25.4 mm,9500.0,5.0,3,11924107.8,89.15948933097503
Etanchiéte monocouche autoprotégée en bitume,9450.0,21.0,3,11933557.8,89.23014930724409
cable électrique U1000 RO2V 3 x 6mm,9450.0,150.0,2,11943007.8,89.30080928351315
Cylindre de serrure spécial 8CM MEDHUB,9450.0,63.0,5,11952457.8,89.37146925978222
Panel LED 60X60 40W 6000K,9350.0,374.0,43,11961807.8,89.44138151143467
Batterie M14 135AH,9200.0,4.0,1,11971007.8,89.51017217616221
Distributeur savon liquide INOX MEDHUB,9100.0,13.0,11,11980107.8,89.57821511627316
Cylindre de serrure de condamnation,9060.0,151.0,92,11989167.8,89.64595896653748
PRO-DIALOG de commande de PAC carrier,9049.0,1.0,1,11998216.8,89.71362056709395
HEMPATHANE HS 55610,9000.0,100.0,1,12007216.8,89.7809157825883
Fourniture de Lampe cabine.,9000.0,6.0,3,12016216.8,89.84821099808264
Douille E27,8965.0,163.0,49,12025181.8,89.91524450996117
DISJONCTEUR 40A COURBE C,8940.4,28.0,2,12034122.200000001,89.98209408158402
Diffuseur combiné sonore de classe B et lumineux flash rouge pour montage au mur IQ8S RB,8916.0,6.0,1,12043038.200000001,90.04876120840042
Cheville en plastique MEDHUB,8800.0,110.0,2,12051838.200000001,90.11456097466154
Peinture de traçage bleu 25KG,8800.0,8.0,3,12060638.200000001,90.18036074092268
Colle de revêtement GRIFFI,8745.0,583.0,13,12069383.200000001,90.2457492586447
Ruban adhésif aluminium,8700.0,145.0,35,12078083.200000001,90.31080130028923
